Comment,Designator,Footprint,LCSC Part Number
0.1uF,"C2,C10,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24",_0805,C49678
33pF,"C1,C3,C4,C5,C8,C25,C26",_0603,C1663
10uF,C6,_0805,C15850
2.2uF,"C7,C9,C11",_0805,C49217
Orange LED,"D2,D5,D8,D11,D14,D17",_0805,C2296
5V6 Zener,"D1,D3,D4,D6,D7,D9,D10,D12,D13,D15,D16,D18",_SOD-123,C173406
2A Fuse,"F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11",_0603,C354889
N-ch MOSFET,"Q1,Q2,Q3,Q4,Q5,Q6",_SOT-23-3L,C20917
1K82,"R1,R46,R48",_0603,C273756
100K,R2,_0805,C25271
1K47,"R3,R47,R49",_0603,C227653
1k,"R4,R10,R16,R22,R28,R34,R40,R41,R42,R43,R44,R45,R50,R51,R8,R9,R14,R15,R20,R21,R26,R27,R32,R33,R38,R39",_0603,C21190
51,"R5,R6,R11,R12,R17,R18,R23,R24,R29,R30,R35,R36",_2512,C41977
1M,"R7,R13,R19,R25,R31,R37",_0805,C17514
10K NTC,TH1,_0603,C153011
