Designator,Mid X,Mid Y,Layer,Rotation
C1,-10.75,14.8,top,0
C2,-10.8,8.2,top,0
C3,-10.75,13.25,top,0
C4,-10.75,11.7,top,0
C5,-10.75,10.1,top,0
C6,8.7,7.7,top,180
C7,12.5,15.3,top,0
C8,-22.75,-25.85,top,270
C9,12.5,9.6,top,180
C10,12.5,7.7,top,0
C11,12.5,13.4,top,180
C12,12.5,11.5,top,0
C13,12,-0.5,top,180
C14,12,1.5,top,180
C15,20,-0.5,top,180
C16,20,1.5,top,180
C17,4,-0.5,top,180
C18,4,1.5,top,180
C19,-4,-0.5,top,180
C20,-4,1.5,top,180
C21,-12,-0.5,top,180
C22,-12,1.5,top,180
C23,-20,-0.5,top,180
C24,-20,1.5,top,180
C25,-19.75,-25.85,top,270
C26,21.25,-25.85,top,270
D1,15.1,-7.8,top,90
D2,27.75,11.3,top,180
D3,12.75,-7.8,top,90
D4,23.8,-7.8,top,90
D5,27.75,9.2,top,180
D6,21.45,-7.8,top,90
D7,6.4,-7.8,top,90
D8,27.75,13.4,top,180
D9,4.05,-7.8,top,90
D10,-2.3,-7.8,top,90
D11,27.75,15.5,top,180
D12,-4.65,-7.8,top,90
D13,-11,-7.8,top,90
D14,27.75,17.6,top,180
D15,-13.35,-7.8,top,90
D16,-19.7,-7.8,top,90
D17,27.75,19.7,top,180
D18,-22.05,-7.8,top,90
F1,15,-22,top,90
F2,12,-22,top,90
F3,9,-22,top,90
F4,6,-22,top,90
F5,3,-22,top,90
F6,0,-22,top,90
F7,-3,-22,top,90
F8,-6,-22,top,90
F9,-9,-22,top,90
F10,-12,-22,top,90
F11,-15,-22,top,90
Q1,18.55,-8.4,top,0
Q2,9.85,-8.4,top,0
Q3,1.15,-8.4,top,0
Q4,-7.55,-8.4,top,0
Q5,-16.25,-8.4,top,0
Q6,-24.95,-8.4,top,0
R1,-21.25,-22.5,top,270
R2,-26.6,21.35,top,180
R3,-19.75,-22.5,top,90
R4,24.1,11.3,top,180
R5,15,-13.25,top,0
R6,15,-17.5,top,0
R7,12,-2.5,top,0
R8,12,3.3,top,0
R9,12,-4.3,top,0
R10,24.1,9.2,top,180
R11,25,-13.25,top,0
R12,25,-17.5,top,0
R13,20,-2.5,top,0
R14,20,3.3,top,0
R15,20,-4.3,top,0
R16,24.1,13.4,top,180
R17,5,-13.25,top,0
R18,5,-17.5,top,0
R19,4,-2.5,top,0
R20,4,3.3,top,0
R21,4,-4.3,top,0
R22,24.1,15.5,top,180
R23,-5,-13.25,top,0
R24,-5,-17.5,top,0
R25,-4,-2.5,top,0
R26,-4,3.3,top,0
R27,-4,-4.3,top,0
R28,24.1,17.6,top,180
R29,-15,-13.25,top,0
R30,-15,-17.5,top,0
R31,-12,-2.5,top,0
R32,-12,3.3,top,0
R33,-12,-4.3,top,0
R34,24.1,19.7,top,180
R35,-25,-13.25,top,0
R36,-25,-17.5,top,0
R37,-20,-2.5,top,0
R38,-20,3.3,top,0
R39,-20,-4.3,top,0
R40,12.3,19.5,top,270
R41,13.9,19.5,top,270
R42,15.5,19.5,top,270
R43,17.1,19.5,top,270
R44,18.7,19.5,top,270
R45,20.3,19.5,top,270
R46,-24.25,-22.5,top,270
R47,-22.75,-22.5,top,90
R48,19.75,-22.5,top,270
R49,21.25,-22.5,top,90
R50,10.7,19.5,top,270
R51,9.1,19.5,top,270
TH1,0,-15.4,top,90
U1,0,13.5,top,90
